rec_id,label,stage,source_section,source_lines,inline_citations_in_unit,extraction_note,paper_excerpt
R001,Tailor best practices by electronics category and component type,cross-lifecycle,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,425-449,7,Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this section. An electronic system is itself made up of fundamental electronic components, which are discrete "
R002,"Use structured sustainability assessment tools and multi-metric evaluation (e.g., LCA/SSbD)",cross-lifecycle,B. TOOLS TO EVALUATE SUSTAINABILITY,450-485,"34,45,57,58,59,60,61,62,63","Section-level recommendation on sustainability evaluation tools (LCA, SSbD, etc.).","B. TOOLS TO EVALUATE SUSTAINABILITY Building on the above definition and research conducted within green electronics-focused projects, the following best include semiconductors (and components further utilizing semiconductors such as sensors, integrated circuits, and discrete devices like diodes and transistors), displays, and power sources. Passive components include resistors, capacitors, inductors, structural components), and optical devices. Interconnectors, such as conductive inks, link these components to form a complete electronic system. Life cycle assessments (LCAs), particularly those conducted in accordance with the International Organization for Standardization (ISO) 14040/14044 "
R003,Apply ecodesign and design-for-circularity (including design for disassembly),design,1) ECODESIGN AND DESIGN FOR CIRCULARITY,499-587,"2,44,55,64,65,66,67,68,69,70,71",,"1) ECODESIGN AND DESIGN FOR CIRCULARITY Rising concerns about resource depletion and e-waste, in conjunction with the EU Ecodesign Directive and new ESPR Directive, have placed ecodesign and circularity at the forefront of electronics innovation. Ecodesign seeks to create products which will minimize environmental impacts across their lifecycle, incorporating principles of circularity that extend product lifespans through reuse, repair, and recycling [64], [65]. Circularity offers an alternative to the traditional ‘‘take-make-dispose’’ model [44], [66], instead prioritizing resource recovery, reduced raw material demand, and waste mitigation. A key aspect of ecodesign is the principle of des"
R004,Prioritize energy and resource efficiency within ecodesign,design,2) ENERGY AND RESOURCE EFFICIENCY CONSIDERATIONS WITHIN ECODESIGN,588-638,"22,28,50,72,73,74,75",,"2) ENERGY AND RESOURCE EFFICIENCY CONSIDERATIONS WITHIN ECODESIGN The Ecodesign Directive also sets energy and resource efficiency as critical goals for electronics manufacturers [28]. Incorporating efficiency considerations into the design phase of green electronics is therefore also important to minimizing their environmental footprint while maintaining performance. Resource efficiency is particularly relevant for all those products with light sources using rare earth metals or data management (Categories 2 – Screens, 3 – Lamps, and 6 – IT Equipment), while energy efficiency can be particularly relevant to Category 1 (Temperature Exchange Equipment) and Category 4 (Large Equipment) electro"
R005,Use biobased or biodegradable materials where appropriate,materials,1) BIOBASED OR BIODEGRADABLE MATERIALS,659-788,"5,10,12,39,45,62,76,77,78,79,80,81,82",,"1) BIOBASED OR BIODEGRADABLE MATERIALS The use of biobased, renewable, bioderived, and biodegradable materials when possible can be advantageous for sustainability [12], as these feedstocks can reduce plastic waste, carbon dioxide (CO2 ) emissions, and reliance on fossil fuels [45]. For example, a cradle-to-grave study by Sudheshwar et al. highlights the potential of wood-derived polymers to outperform common fossil-based polymers environmentally. The lowest carbon footprint reported for 1 kg of lignin (−2.06 kg CO2 eq.) is 10.29 kg CO2 eq. lower than the lowest footprint of polyamide (8.23 kg CO2 eq.). Compared to other fossil-based polymers, lignin’s footprint is 2.53 kg CO2 eq. lower than"
R006,Substitute high-impact non-biobased materials with lower-impact alternatives,materials,2) NON-BIOBASED MATERIALS AND SUBSTITUTION OF HIGH-IMPACT MATERIALS,789-827,"45,83,84,85,86,87,88",,"2) NON-BIOBASED MATERIALS AND SUBSTITUTION OF HIGH-IMPACT MATERIALS While biodegradable and biobased materials may offer environmental benefits, they cannot always meet the performance, availability, or cost requirements needed for certain electronic applications [83]. Non-biobased materials, therefore, remain essential for hybrid PEs, as well as complex electronics such as those found in Category 6 (Small IT Equipment), where advanced materials are required to ensure functionality and longevity. Non-biobased materials can still contribute to sustainability when they are low-carbon, free of critical, conflict, or toxic substances, and circular - minimizing fossil feedstock demand while enabl"
R007,"Consider feedstock abundance, availability, criticality, and sourcing geography",materials,"3) FEEDSTOCK ABUNDANCE, AVAILABILITY, AND LOCATIONS OF SOURCING",828-859,"89,90,91",,"3) FEEDSTOCK ABUNDANCE, AVAILABILITY, AND LOCATIONS OF SOURCING Beyond the biobased vs. non-biobased debate, the geographic availability and regional abundance of feedstocks can play a role in reducing the environmental impacts associated with electronics production. Sourcing materials locally or regionally not only supports resource sovereignty but can also lower emissions and energy use linked to transport and logistics. This is exemplified by a study by Berg and Lindholm, which found that long-distance transport of timber within the Swedish wood supply chain accounted for 54% of the total energy consumed during forest operations [89], [90]. Prioritizing locally sourced materials minimizes"
R008,Use resource- and energy-efficient manufacturing processes,production,1) RESOURCE- AND ENERGY-EFFICIENT MANUFACTURING PROCESSES,865-1006,"39,45,75,92,93,94,95,96,97,98,99,100,101,102,103,104,105",,"1) RESOURCE- AND ENERGY-EFFICIENT MANUFACTURING PROCESSES Reducing the environmental impact of electronics manufacturing requires resource-efficient processes that minimize raw material use, water consumption, energy demand, and waste. Approaches like dematerialization and process optimization are relevant across all WEEE categories but are especially relevant for energy- and material-intensive electronic products such as large equipment (Category 4) and IT equipment (Category 6). Additive manufacturing methods such as inkjet printing, screen printing, or semi-additive lithography can reduce material waste, energy consumption, and hazardous chemical use compared to subtractive methods [92], "
R009,Minimize toxic and hazardous process materials in production,production,2) MINIMIZE TOXIC AND HAZARDOUS PROCESS MATERIALS,1009-1046,"31,45",Manually split from interleaved two-column extraction block.,"2) MINIMIZE TOXIC AND HAZARDOUS PROCESS MATERIALS Reinforced by RoHS [31], reducing the use of toxic and hazardous materials in electronics manufacturing is also important for greener production processes [45]. This effort is particularly relevant to Categories 1 (Temperature Exchange Equipment), 2 (Screens and Monitors), and 6 (Small IT Equipment), which often rely on flame retardants, rare metals, or complex manufacturing processes involving solvents and acids. When selecting production locations for greener electronics, it can be valuable to consider factors that minimize environmental impact, such as transportation distances and the local availability of renewable energy. Locating facili"
R010,Choose production locations to reduce logistics emissions and use cleaner grids,production,3) LOCATIONS OF PRODUCTION,1007-1046,"106,107,108",Manually split from interleaved two-column extraction block.,3) LOCATIONS OF PRODUCTION 
R011,Reduce energy consumption / increase energy efficiency during use,use,1) REDUCE ENERGY CONSUMPTION/INCREASE ENERGY EFFICIENCY DURING USE,1053-1083,109,,"1) REDUCE ENERGY CONSUMPTION/INCREASE ENERGY EFFICIENCY DURING USE Energy consumption during the use phase of electronics can be minimized through energy-efficient design and power-saving modes [109]. Energy efficiency is particularly important for WEEE categories with high or continuous energy demands, such as Category 1 (Temperature Exchange Equipment), Category 2 (Screens and Monitors), and Category 4 (Large Equipment). Incorporating automatic power-saving modes into electronic devices can significantly reduce energy consumption during inactivity - for example, enabling such a feature in monitors can cut annual waste power use from 46.89 kWh to 1.04 kWh, saving over 45 kWh per device, as "
R012,"Optimize product lifetime (durability, reliability, repairability)",use,2) LIFETIME OPTIMIZATION,1084-1110,"92,110,111,112",,"2) LIFETIME OPTIMIZATION Manufacturers can influence longevity through product design and support for repairability [110]. This principle applies to all WEEE categories but is particularly valuable for long-lasting, resource-intensive products like temperature exchange devices (Category 1) and large equipment (Category 4), as emphasized by Sustain-a-Print project partners (Table 2). Lifetime optimization begins with prioritizing durability and repairability during the design phase. Products designed to withstand wear and tear, alongside features that allow for easy repair and refurbishment, are essential to prolonging their use. Right to Repair laws, which ensure the availability of repair d"
R013,"Prioritize reuse, repairability, recycling, and circularity at end-of-life",end-of-life,"1) REUSE, REPAIRABILITY, RECYCLING, AND CIRCULARITY",1130-1193,"66,115,116,117,118,119,120,121,122",,"1) REUSE, REPAIRABILITY, RECYCLING, AND CIRCULARITY An ideal EoL management system for green electronics might resemble a closed-loop system, cascading devices from primary use to lower-performance applications before recycling and material recovery [66]. From an environmental point of view, reuse is usually the best option, as it minimizes waste and conserves resources more effectively than recycling [115]. Achieving material circularity therefore involves a tiered approach: remanufacturing, where components are refurbished for reuse in similar products; repurposing, where recovered materials are used in alternative applications; and finally, recycling, where materials are processed into ra"
R014,Use biodegradability selectively as an end-of-life strategy,end-of-life,2) BIODEGRADABILITY,1194-1245,"62,76,123,124,125",,"2) BIODEGRADABILITY Biodegradability offers a viable EoL solution for certain electronics, particularly short-lifespan, low-value, lifecycle. The absence of a specific example from a project for a given best practice does not necessarily indicate that the project is not following the best practice. The righthand column highlights electronic types or components explicitly referenced in the reviewed best practices or project examples. While these components are directly affected by the design approaches discussed, other components may also benefit. or non-recyclable devices, such as those in Category 5 (Small Devices, including medical and low-cost disposable electronics) [123]. By aligning th"
R015,Adapt e-waste management systems for emerging and hybrid electronics,end-of-life,3) E-WASTE MANAGEMENT,1246-1290,"7,12,126",,"3) E-WASTE MANAGEMENT Managing e-waste effectively remains a challenge as electronics become more diverse and increasingly integrated into non-traditional products [12]. Many emerging technologies do not align with existing recycling models, complicating waste processing. While reuse and recycling are critical to reducing environmental impact, centralized systems for collection, processing, and recycling require coordination beyond designers and manufacturers. For non-industrial applications like consumer electronics, successful e-waste management therefore depends heavily on consumer participation and political commitment to develop and optimize recycling infrastructure [126]. In Europe, cu"
R016,Prioritize circularity in design and end-of-life management,cross-lifecycle,• Prioritize circularity in design and EoL management:,1293-1294,,Explicit recommendation bullet from conclusion/policy recommendations.,"• Prioritize circularity in design and EoL management: Focus on electronics that integrate into existing recycling streams (paper, metal, plastic) by using designfor-disassembly and design-for-recycling principles."
R017,Develop biodegradable and compostable solutions for suitable applications,cross-lifecycle,• Develop biodegradable and compostable solutions:,1295-1300,,Explicit recommendation bullet from conclusion/policy recommendations.,"• Develop biodegradable and compostable solutions: While biodegradable electronics are not universally suitable, their role in addressing disposable applications warrants further investigation. Research should focus on creating materials capable of readily degrading under ordinary/standard environmental conditions, while still retaining electronic functionality during the use phase."
R018,Improve recycling technologies through industry–academia collaboration,end-of-life,• Improve recycling technologies: Develop improved,1301-1303,,Explicit recommendation bullet from conclusion/policy recommendations.,• Improve recycling technologies: Develop improved recycling methods through industry-academia collaboration.
R019,Expand and harmonize e-waste regulations for emerging technologies,policy/end-of-life,• Expand the scope of e-waste regulations to emerging technologies: Broaden and harmonize policies to,1311-1315,,Explicit recommendation bullet from conclusion/policy recommendations.,"• Expand the scope of e-waste regulations to emerging technologies: Broaden and harmonize policies to include emerging technologies like hybrid PEs and electronics in smart packaging and clothing, ensuring proper classification and processing under directives like WEEE."
R020,Support R&D for enhanced recycling systems and critical material recovery,policy/end-of-life,• Support R&D for enhanced recycling systems: Provide financial and regulatory backing for innovations,1316-1318,,Explicit recommendation bullet from conclusion/policy recommendations.,• Support R&D for enhanced recycling systems: Provide financial and regulatory backing for innovations that improve recycling systems and critical material recovery rates.
R021,Incentivize ecodesign and recyclable/repairable product design,policy/cross-lifecycle,"• Incentivize ecodesign adoption: Offering tax breaks,",1319-1324,,Explicit recommendation bullet from conclusion/policy recommendations.,"• Incentivize ecodesign adoption: Offering tax breaks, subsidies, or other incentives for manufacturers implementing ecodesign principles or producing recyclable and repairable electronics can encourage sustainable practices across the industry."
R022,Promote sufficiency in electronics production and use,policy/cross-lifecycle,• Promote sufficiency in electronics production and use:,1325-1328,,Explicit recommendation bullet from conclusion/policy recommendations.,"• Promote sufficiency in electronics production and use: Consider policies that promote the creation and utilization of novel applications for electronics only when they offer significant social or environmental benefits, reducing unnecessary production and consumption."
R023,Scale production of biobased/novel materials to reduce costs,economics/production,• Scale production to lower costs: Scaling up the production of biobased and novel materials can help,1339-1341,,Explicit recommendation bullet from conclusion/policy recommendations.,"• Scale production to lower costs: Scaling up the production of biobased and novel materials can help reduce their costs, making them more accessible and competitive with conventional materials."
R024,Internalize environmental costs of conventional electronics,policy/economics,"• Internalize environmental costs of conventional electronics: Legislative frameworks should aim to internalize the environmental costs of conventional electronics,",1342-1344,,Explicit recommendation bullet from conclusion/policy recommendations.,"• Internalize environmental costs of conventional electronics: Legislative frameworks should aim to internalize the environmental costs of conventional electronics, for example, by imposing carbon taxes or requiring companies and consumers to pay for e-waste recycling."
